Time,Dia,Mes,Hora,Dia_Semana,Demanda_Residencial,Demanda_VE_L1,Demanda_VE_L2,Demanda_Total_L1,Demanda_Total_L2,Demanda_Total,Estacao,Periodo_Dia,Fim_Semana,VEs_Plugados_L1,VEs_Plugados_L2
2010-01-01 00:00:00,1,1,0,6,1111665.8899999997,5760,19800,1117425.8899999997,1131465.8899999997,1137225.8899999997,4,0,0,1,1
2010-01-01 01:00:00,1,1,1,6,1057864.8699999994,11520,0,1069384.8699999994,1057864.8699999994,1069384.8699999994,4,0,0,1,0
2010-01-01 02:00:00,1,1,2,6,1036166.9700000004,15360,19800,1051526.9700000004,1055966.9700000004,1071326.9700000004,4,0,0,3,2
2010-01-01 03:00:00,1,1,3,6,1064536.91,32640,46200,1097176.91,1110736.91,1143376.91,4,0,0,5,5
2010-01-01 04:00:00,1,1,4,6,1133233.5200000005,23040,6600,1156273.5200000005,1139833.5200000005,1162873.5200000005,4,0,0,3,1
2010-01-01 05:00:00,1,1,5,6,1238767.0200000007,21120,26400,1259887.0200000007,1265167.0200000007,1286287.0200000007,4,0,0,5,2
2010-01-01 06:00:00,1,1,6,6,1473655.1600000006,34560,33000,1508215.1600000006,1506655.1600000006,1541215.1600000006,4,1,0,8,5
2010-01-01 07:00:00,1,1,7,6,1589307.2100000004,40320,79200,1629627.2100000004,1668507.2100000004,1708827.2100000004,4,1,0,13,10
2010-01-01 08:00:00,1,1,8,6,1642261.3999999992,192000,244200,1834261.3999999992,1886461.3999999992,2078461.3999999992,4,1,0,34,22
2010-01-01 09:00:00,1,1,9,6,1788779.9200000006,282240,382800,2071019.9200000009,2171579.920000001,2453819.920000001,4,1,0,46,31
2010-01-01 10:00:00,1,1,10,6,1768978.4500000002,330240,277200,2099218.45,2046178.45,2376418.45,4,1,0,56,30
2010-01-01 11:00:00,1,1,11,6,1700142.9099999997,432000,620400,2132142.91,2320542.91,2752542.91,4,1,0,69,48
2010-01-01 12:00:00,1,1,12,6,1802712.3400000003,599040,838200,2401752.3400000003,2640912.3400000003,3239952.3400000003,4,2,0,100,66
2010-01-01 13:00:00,1,1,13,6,1797483.2500000016,721920,607200,2519403.250000002,2404683.250000002,3126603.250000002,4,2,0,99,50
2010-01-01 14:00:00,1,1,14,6,1866548.8,639360,825000,2505908.8,2691548.8,3330908.8,4,2,0,105,58
2010-01-01 15:00:00,1,1,15,6,1839853.0899999996,691200,752400,2531053.0899999994,2592253.0899999994,3283453.0899999994,4,2,0,88,50
2010-01-01 16:00:00,1,1,16,6,1949596.85,756480,785400,2706076.85,2734996.85,3491476.85,4,2,0,99,56
2010-01-01 17:00:00,1,1,17,6,2211613.26,948480,1293600,3160093.26,3505213.26,4453693.26,4,2,0,119,79
2010-01-01 18:00:00,1,1,18,6,2131457.699999999,1000320,1141800,3131777.699999999,3273257.699999999,4273577.699999999,4,3,0,121,60
2010-01-01 19:00:00,1,1,19,6,2045438.1799999983,979200,1016400,3024638.1799999983,3061838.1799999983,4041038.1799999983,4,3,0,122,67
2010-01-01 20:00:00,1,1,20,6,2042148.750000001,885120,818400,2927268.750000001,2860548.750000001,3745668.750000001,4,3,0,102,44
2010-01-01 21:00:00,1,1,21,6,2016718.69,873600,686400,2890318.69,2703118.69,3576718.69,4,3,0,94,41
2010-01-01 22:00:00,1,1,22,6,1736897.0399999998,718080,475200,2454977.04,2212097.04,2930177.04,4,0,0,83,34
2010-01-01 23:00:00,1,1,23,6,1311784.1199999994,587520,435600,1899304.1199999996,1747384.1199999994,2334904.119999999,4,0,0,64,23
2010-01-02 00:00:00,2,1,0,7,1142865.4900000002,432000,184800,1574865.4900000002,1327665.4900000002,1759665.4900000002,4,0,1,46,11
2010-01-02 01:00:00,2,1,1,7,1134221.6199999994,305280,132000,1439501.6199999994,1266221.6199999994,1571501.6199999994,4,0,1,37,12
2010-01-02 02:00:00,2,1,2,7,1084143.36,255360,112200,1339503.36,1196343.36,1451703.36,4,0,1,26,7
2010-01-02 03:00:00,2,1,3,7,1083684.62,159360,125400,1243044.62,1209084.62,1368444.62,4,0,1,21,9
2010-01-02 04:00:00,2,1,4,7,1083073.5900000008,134400,112200,1217473.5900000008,1195273.5900000008,1329673.5900000008,4,0,1,16,4
2010-01-02 05:00:00,2,1,5,7,1198663.3500000003,80640,46200,1279303.3500000003,1244863.3500000003,1325503.3500000003,4,0,1,12,5
2010-01-02 06:00:00,2,1,6,7,1358578.0000000014,99840,112200,1458418.0000000014,1470778.0000000014,1570618.0000000014,4,1,1,16,9
2010-01-02 07:00:00,2,1,7,7,1570987.459999999,211200,303600,1782187.459999999,1874587.459999999,2085787.459999999,4,1,1,27,22
2010-01-02 08:00:00,2,1,8,7,1741293.79,238080,244200,1979373.79,1985493.79,2223573.79,4,1,1,35,19
2010-01-02 09:00:00,2,1,9,7,1756763.6200000015,309120,396000,2065883.6200000015,2152763.620000002,2461883.620000002,4,1,1,48,34
2010-01-02 10:00:00,2,1,10,7,1776198.3700000003,380160,369600,2156358.37,2145798.37,2525958.37,4,1,1,51,33
2010-01-02 11:00:00,2,1,11,7,1845514.2900000007,503040,693000,2348554.290000001,2538514.290000001,3041554.290000001,4,1,1,71,49
2010-01-02 12:00:00,2,1,12,7,1817686.8199999996,673920,739200,2491606.82,2556886.82,3230806.82,4,2,1,90,60
2010-01-02 13:00:00,2,1,13,7,1785108.4700000004,748800,930600,2533908.4700000007,2715708.4700000007,3464508.4700000007,4,2,1,106,64
2010-01-02 14:00:00,2,1,14,7,1765685.0400000005,764160,712800,2529845.0400000005,2478485.0400000005,3242645.0400000005,4,2,1,107,53
2010-01-02 15:00:00,2,1,15,7,1812676.5900000003,816000,818400,2628676.5900000003,2631076.5900000003,3447076.5900000003,4,2,1,103,57
2010-01-02 16:00:00,2,1,16,7,1862942.09,829440,831600,2692382.09,2694542.09,3523982.09,4,2,1,107,55
2010-01-02 17:00:00,2,1,17,7,2036412.7700000005,854400,1036200,2890812.7700000005,3072612.7700000005,3927012.770000001,4,2,1,121,75
2010-01-02 18:00:00,2,1,18,7,2157933.900000001,727680,778800,2885613.900000001,2936733.900000001,3664413.900000001,4,3,1,94,54
2010-01-02 19:00:00,2,1,19,7,2177152.55,846720,950400,3023872.55,3127552.55,3974272.55,4,3,1,108,60
2010-01-02 20:00:00,2,1,20,7,2149863.71,766080,574200,2915943.71,2724063.71,3490143.71,4,3,1,91,36
2010-01-02 21:00:00,2,1,21,7,1959089.1800000004,673920,574200,2633009.1800000006,2533289.1800000006,3207209.1800000006,4,3,1,82,37
2010-01-02 22:00:00,2,1,22,7,1842103.610000001,576000,567600,2418103.6100000013,2409703.6100000013,2985703.6100000013,4,0,1,73,35
2010-01-02 23:00:00,2,1,23,7,1661165.650000001,510720,376200,2171885.6500000013,2037365.650000001,2548085.6500000013,4,0,1,64,25
2010-01-03 00:00:00,3,1,0,1,1532162.3400000003,395520,217800,1927682.3400000003,1749962.3400000003,2145482.3400000003,4,0,1,44,15
2010-01-03 01:00:00,3,1,1,1,1384697.18,353280,125400,1737977.18,1510097.18,1863377.18,4,0,1,37,11
2010-01-03 02:00:00,3,1,2,1,1327508.7600000014,201600,99000,1529108.7600000014,1426508.7600000014,1628108.7600000014,4,0,1,27,8
